tgl_perawatan,total_jumlah_per_hari
2020-12-19,2
2020-12-20,2
2020-12-21,7
2020-12-22,14
2020-12-23,27
2020-12-24,0
2020-12-25,1
2020-12-26,2
2020-12-27,0
2020-12-28,50
2020-12-29,50
2020-12-30,43
2020-12-31,4
2021-01-01,2
2021-01-02,1
2021-01-03,7
2021-01-04,22
2021-01-05,28
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,8
2021-01-10,1
2021-01-11,70
2021-01-12,29
2021-01-13,36
2021-01-14,0
2021-01-15,17
2021-01-16,3
2021-01-17,17
2021-01-18,41
2021-01-19,9
2021-01-20,4
2021-01-21,17
2021-01-22,14
2021-01-23,2
2021-01-24,0
2021-01-25,6
2021-01-26,6
2021-01-27,6
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,4
2021-02-03,15
2021-02-04,34
2021-02-05,11
2021-02-06,0
2021-02-07,3
2021-02-08,6
2021-02-09,5
2021-02-10,17
2021-02-11,0
2021-02-12,0
2021-02-13,1
2021-02-14,0
2021-02-15,1
2021-02-16,133
2021-02-17,69
2021-02-18,0
2021-02-19,156
2021-02-20,1
2021-02-21,4
2021-02-22,15
2021-02-23,50
2021-02-24,69
2021-02-25,0
2021-02-26,57
2021-02-27,22
2021-02-28,2
2021-03-01,26
2021-03-02,143
2021-03-03,0
2021-03-04,0
2021-03-05,141
2021-03-06,1
2021-03-07,3
2021-03-08,10
2021-03-09,0
2021-03-10,175
2021-03-11,5
2021-03-12,50
2021-03-13,2
2021-03-14,5
2021-03-15,9
2021-03-16,195
2021-03-17,134
2021-03-18,0
2021-03-19,174
2021-03-20,0
2021-03-21,18
2021-03-22,60
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,191
2021-03-27,11
2021-03-28,0
2021-03-29,29
2021-03-30,167
2021-03-31,201
2021-04-01,0
2021-04-02,1
2021-04-03,2
2021-04-04,2
2021-04-05,100
2021-04-06,109
2021-04-07,166
2021-04-08,0
2021-04-09,24
2021-04-10,21
2021-04-11,17
2021-04-12,35
2021-04-13,131
2021-04-14,82
2021-04-15,79
2021-04-16,109
2021-04-17,3
2021-04-18,3
2021-04-19,34
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,19
2021-04-24,8
2021-04-25,6
2021-04-26,16
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,47
2021-05-01,4
2021-05-02,5
2021-05-03,29
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,60
2021-05-08,3
2021-05-09,8
2021-05-10,87
2021-05-11,0
2021-05-12,9
2021-05-13,3
2021-05-14,1
2021-05-15,3
2021-05-16,6
2021-05-17,30
2021-05-18,124
2021-05-19,91
2021-05-20,0
2021-05-21,46
2021-05-22,9
2021-05-23,7
2021-05-24,30
2021-05-25,0
2021-05-26,10
2021-05-27,0
2021-05-28,37
2021-05-29,26
2021-05-30,9
2021-05-31,60
2021-06-01,7
2021-06-02,0
2021-06-03,205
2021-06-04,24
2021-06-05,3
2021-06-06,5
2021-06-07,18
2021-06-08,90
2021-06-09,0
2021-06-10,162
2021-06-11,23
2021-06-12,9
2021-06-13,2
2021-06-14,17
2021-06-15,0
2021-06-16,171
2021-06-17,165
2021-06-18,30
2021-06-19,7
2021-06-20,3
2021-06-21,4
2021-06-22,0
2021-06-23,76
2021-06-24,111
2021-06-25,3
2021-06-26,4
2021-06-27,4
2021-06-28,38
2021-06-29,119
2021-06-30,209
2021-07-01,21
2021-07-02,1
2021-07-03,10
2021-07-04,3
2021-07-05,45
2021-07-06,0
2021-07-07,0
2021-07-08,0
2021-07-09,23
2021-07-10,5
2021-07-11,6
2021-07-12,62
2021-07-13,0
2021-07-14,0
2021-07-15,217
2021-07-16,54
2021-07-17,7
2021-07-18,4
2021-07-19,90
2021-07-20,1
2021-07-21,122
2021-07-22,0
2021-07-23,49
2021-07-24,9
2021-07-25,36
2021-07-26,7
2021-07-27,96
2021-07-28,86
2021-07-29,205
2021-07-30,11
2021-07-31,4
2021-08-01,7
2021-08-02,17
2021-08-03,164
2021-08-04,31
2021-08-05,75
2021-08-06,0
2021-08-07,1
2021-08-08,7
2021-08-09,23
2021-08-10,174
2021-08-11,1
2021-08-12,0
2021-08-13,28
2021-08-14,4
2021-08-15,4
2021-08-16,22
2021-08-17,1
2021-08-18,210
2021-08-19,0
2021-08-20,2
2021-08-21,5
2021-08-22,1
2021-08-23,10
2021-08-24,0
2021-08-25,103
2021-08-26,72
2021-08-27,14
2021-08-28,0
2021-08-29,0
2021-08-30,8
2021-08-31,0
2021-09-01,177
2021-09-02,165
2021-09-03,7
2021-09-04,0
2021-09-05,0
2021-09-06,7
2021-09-07,86
2021-09-08,105
2021-09-09,47
2021-09-10,0
2021-09-11,0
2021-09-12,1
2021-09-13,18
2021-09-14,0
2021-09-15,21
2021-09-16,28
2021-09-17,8
2021-09-18,3
2021-09-19,2
2021-09-20,10
2021-09-21,156
2021-09-22,136
2021-09-23,60
2021-09-24,22
2021-09-25,0
2021-09-26,1
2021-09-27,7
2021-09-28,0
2021-09-29,134
2021-09-30,0
2021-10-01,15
2021-10-02,0
2021-10-03,0
2021-10-04,37
2021-10-05,203
2021-10-06,103
2021-10-07,104
2021-10-08,7
2021-10-09,8
2021-10-10,1
2021-10-11,87
2021-10-12,95
2021-10-13,17
2021-10-14,78
2021-10-15,9
2021-10-16,1
2021-10-17,1
2021-10-18,48
2021-10-19,5
2021-10-20,2
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,2
2021-10-26,54
2021-10-27,90
2021-10-28,10
2021-10-29,0
2021-10-30,2
2021-10-31,0
2021-11-01,9
2021-11-02,11
2021-11-03,6
2021-11-04,8
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,6
2021-11-12,6
2021-11-13,4
2021-11-14,2
2021-11-15,7
2021-11-16,0
2021-11-17,10
2021-11-18,0
2021-11-19,10
2021-11-20,0
2021-11-21,0
2021-11-22,12
2021-11-23,7
2021-11-24,13
2021-11-25,11
2021-11-26,14
2021-11-27,2
2021-11-28,2
2021-11-29,60
2021-11-30,0
2021-12-01,37
2021-12-02,0
2021-12-03,4
2021-12-04,0
2021-12-05,1
2021-12-06,153
2021-12-07,45
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,45
2021-12-14,147
2021-12-15,202
2021-12-16,75
2021-12-17,6
2021-12-18,0
2021-12-19,1
2021-12-20,53
2021-12-21,141
2021-12-22,183
2021-12-23,102
2021-12-24,1
2021-12-25,7
2021-12-26,1
2021-12-27,119
2021-12-28,48
2021-12-29,105
2021-12-30,65
2021-12-31,12
2022-01-01,181
2022-01-02,5
2022-01-03,44
2022-01-04,42
2022-01-05,54
2022-01-06,86
2022-01-07,105
2022-01-08,5
2022-01-09,0
2022-01-10,158
2022-01-11,0
2022-01-12,0
2022-01-13,193
2022-01-14,71
2022-01-15,10
2022-01-16,8
2022-01-17,38
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,86
2022-01-22,5
2022-01-23,5
2022-01-24,0
2022-01-25,183
2022-01-26,142
2022-01-27,0
2022-01-28,114
2022-01-29,0
2022-01-30,2
2022-01-31,65
2022-02-01,11
2022-02-02,0
2022-02-03,164
2022-02-04,51
2022-02-05,3
2022-02-06,1
2022-02-07,148
2022-02-08,0
2022-02-09,64
2022-02-10,135
2022-02-11,53
2022-02-12,0
2022-02-13,6
2022-02-14,0
2022-02-15,177
2022-02-16,0
2022-02-17,146
2022-02-18,123
2022-02-19,0
2022-02-20,0
2022-02-21,109
2022-02-22,0
2022-02-23,0
2022-02-24,55
2022-02-25,97
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,57
2022-03-02,0
2022-03-03,0
2022-03-04,37
2022-03-05,0
2022-03-06,0
2022-03-07,145
2022-03-08,71
2022-03-09,142
2022-03-10,62
2022-03-11,99
2022-03-12,5
2022-03-13,0
2022-03-14,26
2022-03-15,135
2022-03-16,39
2022-03-17,2
2022-03-18,90
2022-03-19,1
2022-03-20,5
2022-03-21,62
2022-03-22,67
2022-03-23,54
2022-03-24,67
2022-03-25,31
2022-03-26,0
2022-03-27,0
2022-03-28,37
2022-03-29,66
2022-03-30,0
2022-03-31,30
2022-04-01,12
2022-04-02,0
2022-04-03,2
2022-04-04,7
2022-04-05,27
2022-04-06,206
2022-04-07,112
2022-04-08,69
2022-04-09,3
2022-04-10,3
2022-04-11,16
2022-04-12,39
2022-04-13,113
2022-04-14,92
2022-04-15,8
2022-04-16,1
2022-04-17,14
2022-04-18,7
2022-04-19,106
2022-04-20,127
2022-04-21,16
2022-04-22,30
2022-04-23,0
2022-04-24,1
2022-04-25,46
2022-04-26,208
2022-04-27,123
2022-04-28,119
2022-04-29,1
2022-04-30,3
2022-05-01,2
2022-05-02,8
2022-05-03,8
2022-05-04,1
2022-05-05,0
2022-05-06,5
2022-05-07,9
2022-05-08,5
2022-05-09,203
2022-05-10,156
2022-05-11,30
2022-05-12,111
2022-05-13,27
2022-05-14,3
2022-05-15,2
2022-05-16,2
2022-05-17,0
2022-05-18,112
2022-05-19,75
2022-05-20,62
2022-05-21,1
2022-05-22,9
2022-05-23,142
2022-05-24,74
2022-05-25,98
2022-05-26,2
2022-05-27,30
2022-05-28,1
2022-05-29,5
2022-05-30,138
2022-05-31,60
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,2
2022-06-05,1
2022-06-06,14
2022-06-07,21
2022-06-08,49
2022-06-09,90
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,60
2022-06-14,51
2022-06-15,7
2022-06-16,2
2022-06-17,2
2022-06-18,0
2022-06-19,0
2022-06-20,83
2022-06-21,58
2022-06-22,86
2022-06-23,105
2022-06-24,36
2022-06-25,7
2022-06-26,3
2022-06-27,79
2022-06-28,56
2022-06-29,67
2022-06-30,218
2022-07-01,5
2022-07-02,1
2022-07-03,2
2022-07-04,57
2022-07-05,55
2022-07-06,10
2022-07-07,12
2022-07-08,0
2022-07-09,1
2022-07-10,1
2022-07-11,1
2022-07-12,1
2022-07-13,1
2022-07-14,2
2022-07-15,1
2022-07-16,2
2022-07-17,2
2022-07-18,0
2022-07-19,67
2022-07-20,60
2022-07-21,97
2022-07-22,1
2022-07-23,0
2022-07-24,1
2022-07-25,68
2022-07-26,36
2022-07-27,65
2022-07-28,90
2022-07-29,30
2022-07-30,0
2022-07-31,4
