tgl_perawatan,total_jumlah_per_hari
2020-12-19,5
2020-12-20,2
2020-12-21,22
2020-12-22,32
2020-12-23,37
2020-12-24,11
2020-12-25,0
2020-12-26,1
2020-12-27,1
2020-12-28,15
2020-12-29,30
2020-12-30,7
2020-12-31,2
2021-01-01,0
2021-01-02,3
2021-01-03,0
2021-01-04,15
2021-01-05,9
2021-01-06,32
2021-01-07,20
2021-01-08,3
2021-01-09,0
2021-01-10,0
2021-01-11,12
2021-01-12,20
2021-01-13,27
2021-01-14,21
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,6
2021-01-19,18
2021-01-20,9
2021-01-21,18
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,4
2021-01-27,23
2021-01-28,23
2021-01-29,3
2021-01-30,3
2021-01-31,0
2021-02-01,11
2021-02-02,20
2021-02-03,11
2021-02-04,35
2021-02-05,23
2021-02-06,13
2021-02-07,6
2021-02-08,0
2021-02-09,8
2021-02-10,3
2021-02-11,30
2021-02-12,21
2021-02-13,1
2021-02-14,0
2021-02-15,21
2021-02-16,3
2021-02-17,37
2021-02-18,26
2021-02-19,10
2021-02-20,3
2021-02-21,0
2021-02-22,10
2021-02-23,11
2021-02-24,42
2021-02-25,0
2021-02-26,10
2021-02-27,0
2021-02-28,9
2021-03-01,20
2021-03-02,3
2021-03-03,7
2021-03-04,23
2021-03-05,26
2021-03-06,2
2021-03-07,2
2021-03-08,8
2021-03-09,33
2021-03-10,20
2021-03-11,0
2021-03-12,2
2021-03-13,0
2021-03-14,12
2021-03-15,10
2021-03-16,11
2021-03-17,12
2021-03-18,47
2021-03-19,20
2021-03-20,0
2021-03-21,8
2021-03-22,15
2021-03-23,20
2021-03-24,8
2021-03-25,21
2021-03-26,33
2021-03-27,0
2021-03-28,0
2021-03-29,22
2021-03-30,12
2021-03-31,15
2021-04-01,38
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,12
2021-04-06,30
2021-04-07,38
2021-04-08,32
2021-04-09,39
2021-04-10,7
2021-04-11,0
2021-04-12,8
2021-04-13,17
2021-04-14,17
2021-04-15,12
2021-04-16,22
2021-04-17,5
2021-04-18,4
2021-04-19,31
2021-04-20,11
2021-04-21,32
2021-04-22,45
2021-04-23,42
2021-04-24,4
2021-04-25,6
2021-04-26,18
2021-04-27,8
2021-04-28,0
2021-04-29,36
2021-04-30,8
2021-05-01,2
2021-05-02,3
2021-05-03,33
2021-05-04,12
2021-05-05,5
2021-05-06,26
2021-05-07,21
2021-05-08,0
2021-05-09,0
2021-05-10,6
2021-05-11,21
2021-05-12,0
2021-05-13,0
2021-05-14,0
2021-05-15,1
2021-05-16,0
2021-05-17,21
2021-05-18,10
2021-05-19,15
2021-05-20,20
2021-05-21,4
2021-05-22,0
2021-05-23,1
2021-05-24,33
2021-05-25,16
2021-05-26,0
